"No.","Time","Source","Destination","Protocol","Length","Info"
"83","0.516562","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4090, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"84","0.521251","7a:32:83:2d:97:8e","Broadcast","AWDL","364","Periodic Synchronization"
"85","0.525333","Netgear_cd:f4:b4","AtherosC_c3:e1:c0","802.11","360","Probe Response, SN=4091, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951[Malformed Packet]"
"86","0.546527","","Broadcom_08:e6:6e (e0:3e:44:08:e6:6e) (RA)","802.11","39","Clear-to-send, Flags=........C"
"87","0.548564","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4092, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"88","0.553587","","Broadcom_08:e3:7c (e0:3e:44:08:e3:7c) (RA)","802.11","39","Clear-to-send, Flags=........C"
"89","0.558268","fe80::50b9:66ff:febd:e79f","ff02::fb","MDNS","190","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question OPT"
"90","0.559620","7a:32:83:2d:97:8e","Broadcast","AWDL","658","Master Indication"
"91","0.578787","52:b9:66:bd:e7:9f","Broadcast","AWDL","362","Periodic Synchronization"
"92","0.584165","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=111, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"93","0.584844","","Broadcom_08:e3:7c (e0:3e:44:08:e3:7c) (RA)","802.11","39","Clear-to-send, Flags=........C"
"94","0.593124","IntelCor_b7:52:73","Cisco-Li_5b:1c:d0","802.11","55","QoS Null function (No data), SN=0, FN=0, Flags=...P...TC"
"95","0.593182","","IntelCor_b7:52:73 (dc:fb:48:b7:52:73) (RA)","802.11","39","Acknowledgement, Flags=........C"
"96","0.602347","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"97","0.602480","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"98","0.602537","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Acknowledgement, Flags=........C"
"99","0.602598","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"100","0.607330","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"101","0.607380","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"102","0.607431","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"103","0.607481","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"104","0.611862","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4094, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"105","0.611921","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"106","0.611971","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"107","0.612118","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"108","0.612168","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","296","QoS Data, SN=2574, FN=0, Flags=.p....F.C"
"109","0.614917","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2556, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"110","0.616690","22:32:33:7b:31:3b","Broadcast","802.11","52","Beacon frame, SN=1770, FN=0, Flags=........C[Malformed Packet]"
"111","0.617971","","Broadcom_08:e6:6e (e0:3e:44:08:e6:6e) (RA)","802.11","39","Clear-to-send, Flags=........C"
"112","0.621916","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"113","0.621963","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","321","QoS Data, SN=2575, FN=0, Flags=.p....F.C"
"114","0.629499","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"115","0.629552","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","396","QoS Data, SN=2576, FN=0, Flags=.p....F.C"
"116","0.632650","7a:32:83:2d:97:8e","Broadcast","AWDL","364","Periodic Synchronization"
"117","0.643737","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4095, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"118","0.675293","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=0, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"119","0.686537","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=112, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"120","0.691777","Apple_53:af:45","IPv6mcast_fb","802.11","647","Data, SN=113, FN=0, Flags=.pm...F.C"
"121","0.696826","Apple_53:af:45","IPv4mcast_fb","802.11","627","Data, SN=114, FN=0, Flags=.p....F.C"
"122","0.716825","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2557, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"123","0.720238","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1771, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"124","0.725784","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Acknowledgement, Flags=........C"
"125","0.740717","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=2, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"126","0.744671","7a:32:83:2d:97:8e","Broadcast","AWDL","364","Periodic Synchronization"
"127","0.767510","Espressi_77:0c:8b","Broadcast","802.11","87","Probe Request, SN=2029, FN=0, Flags=........C, SSID=AdventurousMoose"
"128","0.772264","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=3, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"129","0.785792","Cisco-Li_5b:1c:d0","LiteonTe_06:f2:ee","802.11","378","Probe Response, SN=115, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"130","0.789109","Cisco-Li_5b:1c:d0","LiteonTe_06:f2:ee","802.11","378","Probe Response, SN=115, FN=0, Flags=....R...C, BI=100, SSID=Cisco19640"
"131","0.791773","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=116, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"132","0.794818","Cisco-Li_5b:1c:d0","LiteonTe_06:f2:ee","802.11","378","Probe Response, SN=116, FN=0, Flags=....R...C, BI=100, SSID=Cisco19640"
"133","0.798237","Cisco-Li_5b:1c:d0","LiteonTe_06:f2:ee","802.11","378","Probe Response, SN=116, FN=0, Flags=....R...C, BI=100, SSID=Cisco19640"
"134","0.801589","Cisco-Li_5b:1c:d0","LiteonTe_06:f2:ee","802.11","378","Probe Response, SN=116, FN=0, Flags=....R...C, BI=100, SSID=Cisco19640"
"135","0.805526","Cisco-Li_5b:1c:d0","LiteonTe_06:f2:ee","802.11","378","Probe Response, SN=116, FN=0, Flags=....R...C, BI=100, SSID=Cisco19640"
"136","0.808942","Cisco-Li_5b:1c:d0","LiteonTe_06:f2:ee","802.11","378","Probe Response, SN=116, FN=0, Flags=....R...C, BI=100, SSID=Cisco19640"
"137","0.809515","52:b9:66:bd:e7:9f","Broadcast","AWDL","368","Periodic Synchronization"
"138","0.815916","26:f5:a2:5a:3e:57","Broadcast","802.11","296","Beacon frame, SN=2065, FN=0, Flags=........C, BI=100, SSID=Linksys04458-guest"
"139","0.819179","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2558, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"140","0.822463","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1772, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"141","0.850187","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"142","0.850276","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"143","0.850326","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Acknowledgement, Flags=........C"
"144","0.850457","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"145","0.857280","7a:32:83:2d:97:8e","Broadcast","AWDL","364","Periodic Synchronization"
"146","0.859867","","Broadcom_08:e3:7c (e0:3e:44:08:e3:7c) (RA)","802.11","39","Clear-to-send, Flags=...P....C"
"147","0.868709","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=6, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"148","0.872902","Google_52:20:d9","Broadcast","802.11","130","QoS Data, SN=2618, FN=0, Flags=.p.....TC"
"149","0.873126","Google_52:20:d9 (e4:f0:42:52:20:d9) (TA)","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","49","802.11 Block Ack Req, Flags=........C"
"150","0.873226","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Google_52:20:d9 (e4:f0:42:52:20:d9) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"151","0.873365","Google_52:20:d9","Broadcast","802.11","130","QoS Data, SN=2618, FN=0, Flags=.p.....TC"
"152","0.873494","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Google_52:20:d9 (e4:f0:42:52:20:d9) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"153","0.891216","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=117, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"154","0.893682","Apple_53:af:45","IPv4mcast_fb","802.11","274","Data, SN=118, FN=0, Flags=.pm...F.C"
"155","0.896517","Apple_53:af:45","IPv6mcast_fb","802.11","294","Data, SN=119, FN=0, Flags=.pm...F.C"
"156","0.897363","Google_52:20:d9","Broadcast","802.11","109","Data, SN=120, FN=0, Flags=.p....F.C"
"157","0.914888","52:b9:66:bd:e7:9f","Broadcast","802.11","368","Action, SN=531, FN=1, Flags=........C[Malformed Packet]"
"158","0.921915","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2559, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"159","0.922800","Espressi_77:0c:8b","Broadcast","802.11","87","Probe Request, SN=2030, FN=0, Flags=........C, SSID=AdventurousMoose"
"160","0.924970","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1773, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"161","0.929835","Netgear_cd:f4:b4","LiteonTe_06:f2:ee","802.11","360","Probe Response, SN=8, FN=0, Flags=....R...C, BI=31, SSID=NTGR_VMB_1462060951"
"162","0.931142","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=9, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"163","0.934255","Netgear_cd:f4:b4","LiteonTe_06:f2:ee","802.11","360","Probe Response, SN=9, FN=0, Flags=....R...C, BI=31, SSID=NTGR_VMB_1462060951"
"164","0.941196","Netgear_cd:f4:b4","LiteonTe_06:f2:ee","802.11","360","Probe Response, SN=9, FN=0, Flags=....R...C, BI=31, SSID=NTGR_VMB_1462060951"
"165","0.949905","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"166","0.949957","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"167","0.950047","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"168","0.950200","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"169","0.962304","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=10, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"170","0.970090","7a:32:83:2d:97:8e","Broadcast","AWDL","364","Periodic Synchronization"
"171","0.993788","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=121, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"172","0.998314","Apple_53:af:45","IPv4mcast_fb","802.11","582","Data, SN=122, FN=0, Flags=.pm...F.C"
"173","1.003112","Apple_53:af:45","IPv6mcast_fb","802.11","602","Data, SN=123, FN=0, Flags=.p....F.C"
"174","1.003523","Google_52:20:d9","IPv4mcast_fb","802.11","271","QoS Data, SN=2619, FN=0, Flags=.p.....TC"
"175","1.003635","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Google_52:20:d9 (e4:f0:42:52:20:d9) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"176","1.023997","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2560, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"177","1.024284","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"178","1.024328","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"179","1.025596","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=12, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"180","1.027300","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1774, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"181","1.033462","52:b9:66:bd:e7:9f","Broadcast","AWDL","368","Periodic Synchronization"
