"No.","Time","Source","Destination","Protocol","Length","Info"
"864","5.555931","22:32:33:7b:31:3b","Broadcast","802.11","409","Data, SN=740, FN=0, Flags=.p....F.C"
"865","5.556194","Apple_95:e3:7c","Cisco-Li_5b:1c:d0","802.11","53","Null function (No data), SN=1283, FN=0, Flags=.......TC"
"866","5.556379","","Apple_95:e3:7c (58:e6:ba:95:e3:7c) (RA)","802.11","39","Acknowledgement, Flags=........C"
"867","5.556424","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_95:e3:7c (58:e6:ba:95:e3:7c) (RA)","802.11","45","Request-to-send, Flags=........C"
"868","5.556634","","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","39","Clear-to-send, Flags=........C"
"869","5.556681","Cisco-Li_5b:1c:ce","Apple_95:e3:7c","802.11","130","QoS Data, SN=198, FN=0, Flags=.p....F.C"
"870","5.556825","Apple_95:e3:7c (58:e6:ba:95:e3:7c) (TA)","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"871","5.560123","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=279, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"872","5.573869","Apple_95:e3:7c","Cisco-Li_5b:1c:d0","802.11","53","Null function (No data), SN=1284, FN=0, Flags=...P...TC"
"873","5.573997","","Apple_95:e3:7c (58:e6:ba:95:e3:7c) (RA)","802.11","39","Acknowledgement, Flags=........C"
"874","5.605892","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"875","5.607589","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"876","5.607741","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"877","5.633106","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"878","5.633152","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","155","QoS Data, SN=3036, FN=0, Flags=.p....F.C"
"879","5.633913","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"880","5.635102","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"881","5.635148","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","155","QoS Data, SN=3036, FN=0, Flags=.p....F.C"
"882","5.636298","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"883","5.636344","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","155","QoS Data, SN=3036, FN=0, Flags=.p....F.C"
"884","5.643546","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=741, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"885","5.657188","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=1975, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
